surah,verse,tokens,seconds_husary,seconds_minshawi,seconds_abdulbasitmurattal,seconds_abdurrahmaansudais,seconds_saoodshuraym
2,118,24,45.6,31.5,40.9,21.4,20.1
2,119,10,21.7,15.1,19.1,11.1,10
2,120,31,52,32.1,46,25.4,23.3
2,121,15,32.7,23.2,29.3,18,15.5
2,122,11,26.1,16.5,23.7,12,10.9
2,123,18,29.6,18.2,39.5,17.6,21.7
2,124,19,39.8,28.4,32.1,19,17.5
2,125,22,49.2,29.6,44.3,23.6,26.9
2,126,30,55,34.5,46.2,30.4,24.6
2,127,14,27.6,17,23.4,15.4,11.9
2,128,17,35.2,25.8,39.9,19.2,15.6
2,129,16,34.2,26.5,31.6,14.8,16.9
2,130,18,34.4,21,27.7,13.9,13.4
2,131,9,16,10.3,14.3,7.4,6.5
2,132,16,44.4,18.9,29.1,18.5,18.2
2,133,27,55.3,33.7,53.6,26.2,24.5
2,134,15,28.7,17.7,21.9,16.9,12
2,135,15,27.2,16.5,23.1,11.2,11.5
2,136,31,73.5,39.7,70.1,27,31.3
2,137,19,39.3,24.9,34.8,18.5,15.2
2,138,10,18.8,10.7,13.9,8.9,7.4
2,139,14,32.2,17.5,37,14.9,13
2,140,30,57.5,34.3,53.4,27.5,24.9
2,141,15,23.4,16.6,23.3,16.8,13.9
2,142,21,38.7,26.8,38.5,17.3,19
2,143,45,86.1,54.7,78.1,44.5,38.7
2,144,34,64.5,41,59.9,29.7,30.3
2,145,32,48.1,37.6,54.5,25.8,25.2
2,146,14,24.1,19.3,27.8,12.4,13.9
2,147,7,11.6,8.4,11.9,4.9,5.3
2,148,19,31.5,21.7,30.6,17.5,14.9
2,149,17,24.4,18.5,26.9,13.8,14.1
2,150,31,56,34.9,58,32,27.5
2,151,17,40.6,21,41.8,17.5,18.2
2,152,6,13.1,10,12,5.3,5.2
2,153,10,21.8,14.5,20.2,7.6,9
2,154,13,24.1,14.7,22.3,9.8,10.4
2,155,12,28.2,19.2,27.1,11.9,11.9
2,156,10,24.4,16.9,21.5,9.7,12.2
2,157,9,20.9,13.6,18.1,11.7,9.8
2,158,24,40.3,30.3,37.7,17.8,17.6
2,159,20,40.3,33.3,40.9,21.6,21.2
2,160,11,23.2,14.3,20.6,13.3,14
2,161,13,24.8,18.2,23.4,18,11.5
2,162,9,17.9,11,13.3,9.4,6.5
2,163,9,17,11.9,16.5,8.2,7.1
2,164,43,97.8,68.7,101.7,37.6,35.7
2,165,31,56.6,38.8,49.1,27.6,22.5
2,166,12,19.5,13.7,18.8,8.9,9
2,167,23,42.4,28.7,38.5,21,19.4
2,168,16,32.4,22.7,29.7,13,12.9
2,169,11,22.4,15.3,20.5,10.6,8.4
2,170,22,44.2,30.1,37.9,17.6,16.8
2,171,18,32.7,24.9,31.1,18.8,14.2
2,172,14,27.8,19.2,20.1,14.3,11.8
2,173,25,45.4,30.8,37.5,20.8,17.1
2,174,29,65.2,45.9,53,27.6,24.8
2,175,11,24.6,17.7,22.4,16.4,10.6
2,176,14,25.7,17.5,23.1,15.4,12.3
2,177,51,135.3,95,113.1,75.8,47.9
2,178,37,73.6,49.7,63.5,40.9,30
2,179,8,17.2,11.8,16.9,12.6,7.2
2,180,16,31,19.3,26,16.9,17.2
2,181,13,28.1,20.9,26.1,13.5,10.9
2,182,16,28.5,21.1,25.5,14.7,12.3
2,183,14,26.3,17.6,24.2,13.3,10.5
2,184,32,66.2,45,60,36.9,25.5
2,185,44,77.7,58,71.8,43.3,32.1
2,186,17,34.4,24.5,35.4,25.9,14.5
2,187,65,124.8,90.5,113.6,70,53.7
2,188,17,33.8,32.5,31.2,24.9,16.2
2,189,27,48.8,30.1,43.5,25.7,19.5
2,190,13,28.1,14,21.9,12.1,10.1
2,191,25,55.5,32.5,48.2,29,22.7
2,192,6,11.2,7.2,10.6,5.7,4.8
2,193,15,28.8,17,26.9,16.2,11.6
2,194,22,42.4,24.4,37.5,20.3,17.6
2,195,14,27.3,16.3,25.7,16.9,11.4
2,196,73,128.4,74.8,114.6,64.2,49.8
2,197,29,57.6,30.9,46.7,32.9,26.1
2,198,26,67.5,33.2,52.7,30.2,21.6
2,199,12,24.7,13.1,20.7,11.3,8.3
2,200,24,43.6,24.4,38.5,21.7,16.9
2,201,14,27.9,15.6,23.7,13.5,10.6
2,202,8,17.9,11.5,15.3,9.7,8
2,203,25,48.2,29.5,40.5,26,19.9
2,204,17,26.3,14.1,31.2,16.5,11.3
2,205,14,24.4,13.7,21.8,12.2,10.2
2,206,12,23.1,13.2,19.6,13.1,9.9
2,207,11,23.7,12.8,19.9,13.5,10.7
2,208,15,36,19.3,30.2,17.1,13.5
2,209,12,25.3,14.9,21.6,11.1,9.6
2,210,17,36.4,18.6,27.7,16.9,12.9
2,211,20,35.5,22.2,34.6,18.8,15.4
2,212,20,31.8,21.3,34.5,18.9,18.4
2,213,49,86.4,54.3,88.3,43.1,39.5
2,214,30,54.3,34.5,52.1,31.7,26.7
2,215,22,43.3,28.7,39,24,19.8
2,216,25,42,26.1,40.4,20.8,17.8
2,217,57,104.5,60.9,106.9,54,50.7
2,218,16,30.6,17.4,28.7,14.7,17.2
2,219,26,56.8,32.2,48.6,23.2,22.6
2,220,26,55.8,30.2,45.9,26.5,20.8
2,221,39,89.7,50.7,77.3,37.8,36.4
2,222,27,54.9,33.5,46.8,24.9,23.3
2,223,16,38.8,24.5,35.2,18.5,16.3
2,224,14,29.5,18.2,25,15.8,11.8
2,225,14,31.1,18.2,27.4,12.4,14.1
2,226,13,27.2,18.8,23.3,12.9,13.3
2,227,7,12.2,7.5,10.9,5.3,5.6
2,228,40,86.6,57.3,77.2,37.3,36
2,229,46,103.9,58.6,79.4,42,38.8
2,230,30,62.9,38.4,50.7,28.3,23.2
2,231,45,96.9,62.8,60.5,40.3,38.1
2,232,33,80.5,43.2,44.2,37.2,35.3
2,233,64,139.7,85,81.5,63.6,52.6
2,234,25,56.6,36.8,35.9,24.5,22.2
2,235,47,100.7,63.3,67.7,42.8,37.5
2,236,25,50.2,30.6,30.5,22.3,23.2
2,237,35,77.1,49.3,49.7,36.4,27.2
2,238,8,18.1,10.3,9.5,8.5,6.9
2,239,15,31,18.3,16.6,13,11.1
2,240,27,57.3,34.9,31.8,22.3,21.2
2,241,6,16.6,10,8.9,7.2,6.4
2,242,7,17.6,8.7,8.3,6.6,7.9
2,243,28,45.6,29,26.9,18.4,21.6
2,244,9,17.7,11.6,11.1,6.8,7
2,245,16,32.7,20.3,20.8,18.1,13.3
2,246,54,104.8,66.5,59.8,46.4,42.4
2,247,43,78.6,49.5,47.5,33.8,31.5
2,248,30,63.5,46.8,37.1,30.6,25.2
2,249,60,141.3,85.4,75.3,57.4,45.9
2,250,15,32.6,23.1,19.1,16.9,19.7
2,251,27,55.2,39,33.4,28.4,27.1
2,252,9,21,14.2,12.2,12.4,9.6
2,253,52,102.6,71.7,60.4,43.9,43
2,254,21,28.2,31.4,26.8,20,17
2,255,50,60.7,67.9,54.6,37.8,37.3
2,256,24,30.7,32.6,27.2,17.5,19.5
2,257,24,37.9,38.2,32.7,24.4,24.6
2,258,43,52.9,60.8,50.2,32.6,31
2,259,67,87.9,85.5,79.7,53,49.2
2,260,39,56.7,52.7,41.4,30,33.9
2,261,24,39,34.9,28,21.3,23
2,262,24,43.2,34.5,30.6,21.4,25.5
2,263,11,23.5,20,15.5,14.8,11.8
2,264,38,87.9,66.2,45.5,37.6,35.4
2,265,27,53.5,46.8,38.6,28.2,25.8
2,266,35,71.5,73.5,50.9,39.5,32.2
2,267,29,59.7,47.8,42.7,26.3,21.9
2,268,13,31,25,20.1,15.5,12.6
2,269,16,30.4,23.7,20.3,14,14.5
2,270,15,33,23.6,20.7,12.5,11.2
2,271,20,38.4,32.2,26.3,22.1,16.7
2,272,28,53.8,41.8,36.5,25.5,21.6
2,273,30,67.6,55.7,42.2,26.3,23.5
2,274,17,33.7,31.4,29.1,18.8,16.8
2,275,45,83.8,53.9,54.4,40.4,33.4
2,276,11,21.9,14,12.9,9,8.2
2,277,19,34.5,21.1,21.5,16.7,16.1
2,278,13,23.7,16.7,16.5,11.4,8.9
2,279,17,31.4,20.8,18.4,13.2,12
2,280,14,30.6,18,18.7,11.3,11
2,281,15,26.6,17.3,17.2,15.2,12.1
2,282,128,260,178,166.8,117.3,103.4
2,283,32,63.4,46.2,43.7,28.2,25.2
2,284,28,51.8,34.1,36,23,21.3
2,285,27,54.2,38.3,36.9,24.9,21.8
2,286,49,88.8,61.3,58.6,43.2,36.3
3,1,1,10.4,7.7,7.6,7.2,5.8
3,2,7,14.2,7.9,8.5,5.1,4.4
3,3,11,21.4,14.2,14.8,8.4,8.5
3,4,18,38,24.4,26,14.7,13.9
3,5,11,16,11.3,11.4,8.6,6.3
3,6,13,25.2,16.3,16.2,10.1,8.8
3,7,46,96,62.2,64.5,45.8,39.1
3,8,15,25.1,16.7,17.4,13.5,10.1
3,9,13,25.1,16.3,16.7,16.8,9.2
3,10,16,33.5,22.3,21.7,14.4,12.1
3,11,14,29.1,19,20.2,15.8,11.9
3,12,9,17.9,12.5,12,9.1,8.9
3,13,29,55.3,36.9,36.7,25.2,22
3,14,24,46.7,34.7,33.2,29.2,24.2
3,15,24,58.4,41.4,37,28.8,22.4
3,16,11,24.8,17.2,17.8,11.6,8.9
3,17,6,19.4,14.2,13.8,10.3,8.3
3,18,18,33.2,25,22.3,17.5,14.1
3,19,26,45.9,32.5,30.9,22.8,21.1
3,20,26,56.7,39,36.5,29.6,22.9
3,21,18,50.7,34.2,24.9,19.7,18.5
3,22,11,22.7,14.2,14.6,17.1,9.4
3,23,20,20,30.1,22.5,16.6,13
3,24,15,23.5,22.4,21.6,14.9,12.3
3,25,15,14.5,15.6,15.6,12.7,9.4
3,26,25,41.6,43.3,46.4,26.5,21.6
3,27,21,25.5,24.8,32.1,19.5,17.9
3,28,27,38,34.6,35.1,23.6,19.9
3,29,22,25.3,20.7,23.1,18.7,13.2
3,30,26,41.4,32.5,33.3,23.1,20.4
3,31,14,22.9,16.9,18.8,13.1,10.9
3,32,11,17.7,13.2,14.6,10.2,8.5
3,33,11,19.6,15.1,14.9,10.5,8
3,34,7,14.5,10.8,11,6.8,5.9
3,35,18,25.9,19.3,21.4,14.8,12.5
3,36,24,44.9,32.8,40.2,23,47
3,37,34,58,43,54.3,32.1,27.8
3,38,15,23.9,18.7,19.7,12.2,10.4
3,39,20,43.5,32.6,36.4,26.5,18.9
3,40,17,28.5,19.2,20.7,13.5,11.1
3,41,20,37.1,24.5,27.6,19.7,16.5
3,42,12,25,15.8,18.8,13,10.9
3,43,7,14.3,9.9,9.5,7.2,7.4
3,44,20,36.6,26.1,26.3,21,15.4
3,45,20,42.2,21.3,31.9,18.7,19.3
3,46,7,15,9.9,10.4,5.7,5.5
3,47,23,41.2,28.1,30.3,19.8,15.6
3,48,5,14,8.6,10.7,6.5,5.4
3,49,45,85.6,57.2,76.3,39,34.6
3,50,19,37.1,23.6,25.9,16.6,14
3,51,8,19.7,13.7,13.7,10.1,9.6
3,52,20,41.3,27.3,27.7,17,15.6
3,53,9,22.8,13.3,16.4,8.3,7.5
3,54,6,15.1,9,8.9,6.1,5.4
3,55,30,64.4,41.9,43.8,27.6,21.8
3,56,13,24.3,16,19.1,11.5,10.7
3,57,11,24.3,15.7,17.9,11.3,8.8
3,58,7,12.5,7.7,9.5,7.8,5
3,59,15,23.7,17,19.1,11.5,10.3
3,60,7,14.7,7.3,9.1,5.9,4.6
3,61,25,70,39.7,45.3,32.2,26.1
3,62,15,27.9,18.3,20.5,13.1,10.4
3,63,6,15,8.8,11,8.8,7.1
3,64,31,67.6,41.7,52.1,28.6,22.7
3,65,15,33.7,24.9,27.7,20,13.1
3,66,19,41.9,28.7,32.5,20.1,15.3
3,67,14,25.9,17,20.1,12.1,14.4
3,68,13,28,19.2,22,13,10.9
3,69,13,27.6,17.6,20.2,13.6,11.5
3,70,8,19.5,10.9,14.6,7.9,6.6
3,71,10,21.3,13.1,17.1,11.2,8.8
3,72,17,32.5,22.1,27.1,18.3,15
3,73,32,55.6,37.1,46.4,32.3,21.9
3,74,8,17.3,9.8,13.7,9.4,8.9
3,75,36,62.8,58.9,51.9,30.3,27.1
3,76,9,17.2,12.9,13.8,7.4,6.8
3,77,27,52.1,46.4,44.8,38.5,23.4
3,78,29,54.1,45.2,46.8,26.7,20.2
3,79,28,52.6,54.1,49,32.1,21
3,80,13,32.2,25.4,27.1,14.5,11.8
3,81,33,70.6,63.5,70,31.6,26.6
3,82,7,15.1,11,12.2,7.3,5.9
3,83,14,25.8,19.4,22.8,14.2,12.5
3,84,29,67.5,53.8,81.7,27.6,22.4
3,85,13,22.3,18.2,16.8,10.5,9.4
3,86,18,38.7,27.3,31.7,16.2,17.3
3,87,9,22.5,18.1,19.4,19.9,9.8
3,88,9,17.2,12.2,13.4,8.4,6.2
3,89,11,19,14.3,16.6,9.2,7.8
3,90,14,31,22.8,25.7,19.1,15.1
3,91,24,40.6,33.1,36.6,20.2,16.9
3,92,15,30.3,25.7,25.5,19.1,14
3,93,24,48.8,38.1,40.9,19.1,19
3,94,11,18.7,14.3,16.5,7.8,7.8
3,95,11,24.8,15.9,18.3,8.6,8.3
3,96,10,20.7,17.1,18.8,10.1,8.6
3,97,25,50.3,38.4,41.9,20.9,19.6
3,98,12,22.5,17.4,18.6,9.1,8.1
3,99,19,39,30.3,33.6,19,15.7
3,100,14,22.8,24.8,25.3,11.5,11.4
3,101,17,27.5,29.3,30.6,14.2,13.6
3,102,12,21.1,20.9,23.4,10.3,9.4
3,103,34,62.8,66.9,73.2,35.1,33.1
3,104,14,28.8,23.5,29.1,14.1,12.7
3,105,14,27.6,21.8,26.2,13.7,12.5
3,106,17,34.3,26.8,31.9,18.5,13.9
3,107,10,18.5,15,16.2,8.9,7.8
3,108,11,20.5,17.7,18.5,9.9,8
3,109,11,17.3,13.2,10.8,6.4,6.5
3,110,23,42.9,37.9,32.2,20.6,18.2
3,111,11,24.2,19.8,18.3,9.5,9.3
3,112,35,61.4,63.3,57.2,34,29.9
3,113,14,34.2,31.1,24.1,15.2,13.4
3,114,15,32.5,28.1,23.8,13.9,12.4
3,115,9,21.3,15.8,14.4,7.5,6.9
3,116,18,34.2,29.7,26.9,14.9,13.5
3,117,23,41.2,39.5,33.4,20.3,17.6
3,118,30,64.4,50.6,47.4,25.1,22.3
3,119,27,68.1,54.5,48.1,25.1,21.2
3,120,21,41.3,33.5,31.9,21.5,17.5
3,121,11,21.1,16.2,13.9,8.5,8.4
3,122,12,27.1,22.3,19.4,12.2,10.9
3,123,10,23.2,16.7,14.3,8.6,8.3
3,124,13,26.1,23.2,19.2,11.8,10.4
3,125,15,34.7,35.5,24,17.1,12.7
3,126,17,29.5,25.9,21.8,13.9,11.5
3,127,9,19.2,16.7,14.3,9.2,7.8
3,128,12,18.7,17.5,13.6,8.4,7.4
3,129,16,31.3,22.8,21.2,12.9,13.3
3,130,12,26.7,19.5,18.4,10.6,9.8
3,131,5,12.1,9.6,9.5,4.9,4.2
3,132,5,12.2,8.1,7.5,8,4.6
3,133,11,27,20.6,17.8,11.1,9.2
3,134,13,32.8,23.9,24.6,14.4,12
3,135,23,48.8,34.5,37.4,21,15.8
3,136,15,35,28.4,26.6,16.3,17
3,137,13,22.4,16.9,17,9,8.4
3,138,6,15.3,12.2,12.4,5.9,5.7
3,139,9,20.2,14.5,14.1,7.6,6.5
3,140,24,46.2,39.9,36.5,21.2,18
3,141,6,14.6,11.1,9.9,5.8,5.4
3,142,13,23.3,20.7,18.2,10.6,9.4
3,143,12,26.4,21.2,18.5,10.2,11.8
3,144,27,48.5,38.3,39.7,21.8,18.6
3,145,24,46.3,31.7,29.5,20.8,16.5
3,146,21,41.7,34.9,27.7,16.7,14.8
3,147,19,35.3,31.8,29.6,17.7,15.7
3,148,10,23.8,16.1,14.4,8.9,8.3
3,149,12,28.5,21.6,24.5,14,10.3
3,150,6,12.7,9.2,7.8,4.8,4.9
3,151,19,37.4,28.9,24.6,17,14.8
3,152,40,80,64.4,66.5,36.3,33.3
3,153,25,56,47,41.5,21.1,17.9
3,154,75,143.8,112.6,100.9,62.7,53
3,155,21,39.5,40.4,26.6,16.1,14.6
3,156,36,77,55.6,45.5,29,27
3,157,14,25.3,21.1,17.8,12.7,9.1
3,158,7,13.4,11,9.1,5.3,5.2
3,159,30,55,44.6,37.2,23.7,21.1
3,160,18,34.1,29.4,23.5,18.8,12.6
3,161,21,33.3,22.1,24,14.4,12.4
3,162,13,26.4,18,18.2,12.8,10.4
3,163,8,20.7,12.5,11.3,7.5,6.1
3,164,25,56.9,32.7,35.2,19.6,18.8
3,165,20,40.8,29.3,29.9,21.3,15.1
3,166,9,20.7,12.1,12.7,7.5,6.8
3,167,33,65.6,41,40.2,26,23.1
3,168,16,31.1,21.5,21.5,16,14.2
3,169,13,26.3,18.7,18.5,12,11.2
3,170,19,35.9,32.7,21.6,16,16
3,171,11,23.8,15.2,14.6,9.2,8.6
3,172,15,23.3,20.6,20.7,11.7,11.7
3,173,17,25.1,20.4,21.4,16.6,14.2
3,174,15,26.6,22.2,21.5,13.5,12.5
3,175,11,23.9,19.3,17.6,12.4,10.9
3,176,22,36.6,28.9,27.5,17.6,16.6
